productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
1323,Piso de Caucho Interlock 100x100cm x 10mm (Unidad) Incluye Bordes,FLOORING,true,,,,,NO_CAPABILITY_APPLICABLE,
1208,Barra Olímpica Cerakote Black Camo 700lb 20kg | HWM,BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1240,Escalera LED S1 Series | Obelix®,CARDIO_MACHINE,true,,,,,UNMODELED,
827,Par Bumper Plates Eco 20kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
185,Kettlebell Acero 16kg | HWM®,KETTLEBELL,true,,,,,UNMODELED,
557,Servicio de armado tipo A-40,,true,,,,,UNMODELED,
825,Par Bumper Plates Eco 15kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
1151,Pack 150kg Eco Series | HWM®,WEIGHT_PLATE,false,,,,,UNMODELED,
1269,Extensión de Cuádriceps MO 2.0 Obelix®,SELECTORIZED_MACHINE,true,LEG_EXTENSION,DIRECT,EXPLICIT,NAME:NAME:extension de cuadriceps:NAME_LEG_EXTENSION_EXPLICIT_V1:,UNMODELED,
234,Par Mancuernas Hexagonales 25kg | HWM®,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1093,Airbike Hurricane 2.0 | 2° Selección | HWM,CARDIO_MACHINE,,,,,,UNMODELED,
184,Kettlebell Acero 12kg | HWM®,KETTLEBELL,true,,,,,UNMODELED,
